kind,repeat,count,index,metric,value
sample,2,2,0,concurrent_idle_rss_after_kib,10152.000000
sample,2,2,0,concurrent_idle_session_rss_delta_per_session_kib,0.000000
sample,2,2,8,active_idle_connections,8.000000
sample,2,2,8,active_connection_rss_delta_kib,0.000000
sample,2,2,8,active_connection_rss_delta_per_connection_kib,0.000000
sample,2,2,0,concurrent_teardown_wall_ms,0.271825
sample,2,2,0,post_teardown_rss_delta_from_baseline_kib,4.000000
sample,2,2,0,post_connection_close_rss_delta_kib,0.000000
sample,3,2,0,sequential_create_ms,0.230173
sample,3,2,1,sequential_create_ms,0.232823
sample,3,2,0,sequential_create_wall_ms,0.481118
sample,3,2,0,sequential_idle_rss_before_kib,10156.000000
sample,3,2,0,sequential_idle_rss_after_kib,10156.000000
sample,3,2,0,sequential_idle_rss_delta_per_session_kib,0.000000
sample,3,2,0,sequential_teardown_wall_ms,0.331865
sample,3,2,1,concurrent_create_ms,0.286494
sample,3,2,0,concurrent_create_ms,0.340966
sample,3,2,0,concurrent_create_wall_ms,0.380926
sample,3,2,0,concurrent_idle_rss_before_kib,10156.000000
sample,3,2,0,concurrent_idle_rss_after_kib,10156.000000
sample,3,2,0,concurrent_idle_session_rss_delta_per_session_kib,0.000000
sample,3,2,8,active_idle_connections,8.000000
sample,3,2,8,active_connection_rss_delta_kib,0.000000
sample,3,2,8,active_connection_rss_delta_per_connection_kib,0.000000
sample,3,2,0,concurrent_teardown_wall_ms,0.517628
sample,3,2,0,post_teardown_rss_delta_from_baseline_kib,4.000000
sample,3,2,0,post_connection_close_rss_delta_kib,0.000000
sample,4,2,0,sequential_create_ms,0.296605
sample,4,2,1,sequential_create_ms,0.229533
sample,4,2,0,sequential_create_wall_ms,0.545109
sample,4,2,0,sequential_idle_rss_before_kib,10160.000000
sample,4,2,0,sequential_idle_rss_after_kib,10160.000000
sample,4,2,0,sequential_idle_rss_delta_per_session_kib,0.000000
sample,4,2,0,sequential_teardown_wall_ms,0.280954
sample,4,2,0,concurrent_create_ms,0.218704
sample,4,2,1,concurrent_create_ms,0.339885
sample,4,2,0,concurrent_create_wall_ms,0.426107
sample,4,2,0,concurrent_idle_rss_before_kib,10160.000000
sample,4,2,0,concurrent_idle_rss_after_kib,10160.000000
sample,4,2,0,concurrent_idle_session_rss_delta_per_session_kib,0.000000
sample,4,2,8,active_idle_connections,8.000000
sample,4,2,8,active_connection_rss_delta_kib,0.000000
sample,4,2,8,active_connection_rss_delta_per_connection_kib,0.000000
sample,4,2,0,concurrent_teardown_wall_ms,0.361546
sample,4,2,0,post_teardown_rss_delta_from_baseline_kib,8.000000
sample,4,2,0,post_connection_close_rss_delta_kib,0.000000
sample,0,4,0,sequential_create_ms,0.253304
sample,0,4,1,sequential_create_ms,0.207173
sample,0,4,2,sequential_create_ms,0.210914
sample,0,4,3,sequential_create_ms,0.221023
sample,0,4,0,sequential_create_wall_ms,0.928156
sample,0,4,0,sequential_idle_rss_before_kib,10168.000000
sample,0,4,0,sequential_idle_rss_after_kib,10168.000000
sample,0,4,0,sequential_idle_rss_delta_per_session_kib,0.000000
